model_id,temperature,num_samples,loop_fraction,avg_tokens,num_correct,accuracy
open-thoughts/OpenThinker3-1.5B,0.0,60,0.3,20503.7,23,0.38333333333333336
open-thoughts/OpenThinker3-1.5B,0.2,1200,0.2375,20888.643333333333,498,0.415
open-thoughts/OpenThinker3-1.5B,0.4,1200,0.1125,19936.645,527,0.43916666666666665
open-thoughts/OpenThinker3-1.5B,0.6,1200,0.060833333333333336,19939.533333333333,537,0.4475
open-thoughts/OpenThinker3-1.5B,0.8,1200,0.021666666666666667,19562.2275,581,0.4841666666666667
open-thoughts/OpenThinker3-1.5B,1.0,1200,0.01,19564.054166666665,575,0.4791666666666667
