model_id,temperature,num_samples,loop_fraction,avg_tokens,num_correct,accuracy
open-thoughts/OpenThinker3-1.5B,0.0,60,0.3,21416.733333333334,21,0.35
open-thoughts/OpenThinker3-1.5B,0.2,1200,0.23916666666666667,21095.01,498,0.415
open-thoughts/OpenThinker3-1.5B,0.4,1200,0.11333333333333333,19960.356666666667,531,0.4425
open-thoughts/OpenThinker3-1.5B,0.6,1200,0.04833333333333333,19705.475833333334,556,0.4633333333333333
open-thoughts/OpenThinker3-1.5B,0.8,1200,0.0225,19707.666666666668,576,0.48
open-thoughts/OpenThinker3-1.5B,1.0,1200,0.008333333333333333,19475.728333333333,604,0.5033333333333333
