model_name,dataset_count,mean_top_20p_capture,mean_rmse,mean_spearman
prompt_length,5,0.2605448553979083,0.17999049999668065,0.4102731037391079
shape_linear,5,0.2642485061545975,0.1741412162862443,0.45151144275886396
shape_tree,5,0.28761872243740116,0.1891382196656885,0.39161608545959076
last_layer,5,0.2571585805566373,0.17852905806078173,0.422557907894871
ensemble,5,0.30440091589222484,0.17692474770846195,0.5858844323541615
shape_tree_plus_last_layer,5,0.2992538053333765,0.18679004744409516,0.46976039638197015
shape_tree_plus_ensemble,5,0.29842653046048595,0.184824962423986,0.47681876234872345
