dataset,ensemble_spearman_mean,ensemble_spearman_std,ensemble_rmse_mean,last_layer_spearman_mean,last_layer_spearman_std,last_layer_rmse_mean,prompt_length_spearman,prompt_length_rmse,effective_budget_spearman,effective_budget_rmse
aime,0.6386946386946387,0.09018900756248531,0.18260460565306133,0.48251748251748255,0.1375686403699721,0.18855059648397635,0.6760080419465042,0.17579553172557646,nan,0.19594672445534614
gpqa,0.41876172607879925,0.04524494398875203,0.16021690622395468,0.17542213883677302,0.22543344009260327,0.16421323518250583,0.11643289508743643,0.16507427688820503,nan,0.16460166335317722
livecodebench,0.8050167975311536,0.0015956539893419394,0.24799187842504855,0.7840804328294073,0.005830007239808433,0.2422606689461133,0.4049523277144552,0.2792276810265119,nan,0.2948838574081628
math500,0.3509110911091109,0.19859637208518155,0.16179335322354896,0.15845984598459847,0.4263433766874798,0.16897495231530135,0.4609147657183268,0.15429455579094903,nan,0.16350648018369013
mmlu_pro,0.3482958318684324,0.03440111144041849,0.13326380556220202,-0.019096449080042193,0.29333016331268197,0.13799515216512534,0.39305748822881714,0.12556045455216058,nan,0.13236213435429234
