dataset,ensemble_pr_auc_mean,ensemble_pr_auc_std,ensemble_macro_f1_mean,ensemble_pos_prec_mean,ensemble_pos_rec_mean,last_layer_pr_auc_mean,last_layer_pr_auc_std,last_layer_macro_f1_mean,prompt_length_pr_auc,prompt_length_macro_f1,prevalence
aime,0.9218253968253967,0.024407181451875867,0.7980283605283606,0.9259259259259259,0.7619047619047619,0.9043083900226757,0.028482882986593447,0.39144736842105265,0.8976190476190475,0.6666666666666666,0.5833333333333334
gpqa,0.41984126984126985,0.028703398920674812,0.38190748521630874,0.10960735171261486,1.0,0.2297686618507052,0.278240016196897,0.41386800334168755,0.06573275862068965,0.2857142857142857,0.05000000000000001
livecodebench,0.711050462070169,0.036384343642765986,0.7473795119710372,0.6091274098139577,0.8271604938271605,0.711564036268643,0.022582376661928215,0.7138471831055507,0.5760332068574129,0.6461742591773552,0.3375000000000001
math500,0.13539449523231653,0.005425180786586139,0.44423558897243104,0.09114959114959115,1.0,0.15057804113611736,0.07099488122408465,0.4682095302283497,0.1001984126984127,0.45750452079566006,0.04
mmlu_pro,0.18373015873015874,0.03669937728726286,0.5623921213966615,0.11717171717171719,0.8333333333333334,0.055852466442552984,0.011919466701946838,0.35714930542674167,0.11036036036036036,0.3965714285714286,0.012500000000000002
