dataset,layer,num_rows,query_position_mode,mean_prev_loop_mass,mean_last_prev_loop_mass,mean_prompt_mass,mean_current_trigger_mass,mean_recent_nonloop_mass,mean_other_completion_mass,top1_fraction_previous_loop,top1_fraction_last_previous_loop,top1_fraction_prompt,top1_fraction_current_trigger,top1_fraction_recent_nonloop,top1_fraction_other_completion
aime,0,30,pre_trigger_start,0.32462379839271305,0.20625212804879994,0.0009576733047045612,0.0,0.2889972765619556,0.38542124728361765,0.3416666666666667,0.32708333333333334,0.0,0.0,0.38958333333333334,0.26875
aime,1,30,pre_trigger_start,0.2842588922474533,0.15382681309711188,0.006214338044325511,0.0,0.3620898149209097,0.3474369555711746,0.3125,0.24375,0.004166666666666667,0.0,0.5083333333333333,0.175
aime,2,30,pre_trigger_start,0.2677456743704776,0.14640533617542437,0.004378753423225135,0.0,0.344663614857321,0.3832119559248289,0.3,0.21458333333333332,0.0,0.0,0.475,0.225
aime,3,30,pre_trigger_start,0.12937938245013356,0.05392721313983202,0.5633565783500671,0.0,0.12156477162692075,0.18569928656021753,0.04583333333333333,0.03333333333333333,0.875,0.0,0.05416666666666667,0.025
aime,4,30,pre_trigger_start,0.1527906943190222,0.10070033712351384,0.4800022443135579,0.0,0.190225680123937,0.1769813934961955,0.08333333333333333,0.0625,0.75,0.0,0.10833333333333334,0.058333333333333334
aime,5,30,pre_trigger_start,0.15957490517757833,0.11172136227445056,0.5371592829624812,0.0,0.21572903192136436,0.08753678388893604,0.04791666666666667,0.03958333333333333,0.8645833333333334,0.0,0.07083333333333333,0.016666666666666666
aime,6,30,pre_trigger_start,0.21644356958568095,0.06996454800634334,0.27022261172533035,0.0,0.20308076774138803,0.3102530544002851,0.13958333333333334,0.05,0.6083333333333333,0.0,0.13333333333333333,0.11875
aime,7,30,pre_trigger_start,0.1967451305128634,0.11819657038043564,0.3588986679911613,0.0,0.24650015577984352,0.19785604774951934,0.06666666666666667,0.058333333333333334,0.7979166666666667,0.0,0.0875,0.04791666666666667
aime,8,30,pre_trigger_start,0.18254452037314575,0.05408621839402864,0.3637920295198758,0.0,0.16018190747903038,0.2934815595547358,0.06458333333333334,0.027083333333333334,0.8208333333333333,0.0,0.05416666666666667,0.06041666666666667
aime,9,30,pre_trigger_start,0.16430672717591127,0.08535426987412696,0.34607729464769366,0.0,0.14563873906542238,0.34397723227739335,0.0625,0.04791666666666667,0.74375,0.0,0.03333333333333333,0.16041666666666668
aime,10,30,pre_trigger_start,0.21350054914752642,0.12060812170772503,0.30644205609957376,0.0,0.2638272515730932,0.21623015105724336,0.06458333333333334,0.05625,0.8041666666666667,0.0,0.08125,0.05
aime,11,30,pre_trigger_start,0.20760929867004355,0.08093526330776513,0.21039827167987823,0.0,0.17255655602008727,0.4094358722368876,0.08958333333333333,0.04791666666666667,0.63125,0.0,0.12291666666666666,0.15625
aime,12,30,pre_trigger_start,0.24292919250826042,0.09784783322441702,0.23284462913870813,0.0,0.23349935171815256,0.2907268308103085,0.07916666666666666,0.05416666666666667,0.7604166666666666,0.0,0.11041666666666666,0.05
aime,13,30,pre_trigger_start,0.23457021452486515,0.07670340120481949,0.1594241663813591,0.0,0.21337303801556118,0.3926325803001722,0.10625,0.06875,0.6104166666666667,0.0,0.15208333333333332,0.13125
aime,14,30,pre_trigger_start,0.23526713227232296,0.08799515155454476,0.1858073279261589,0.0,0.22536009117417657,0.35356545423467955,0.075,0.052083333333333336,0.6916666666666667,0.0,0.12916666666666668,0.10416666666666667
aime,15,30,pre_trigger_start,0.22982798907905816,0.11028955105381708,0.2811869194110235,0.0,0.2738040074861298,0.21518109142780303,0.04375,0.04375,0.8041666666666667,0.0,0.14375,0.008333333333333333
aime,16,30,pre_trigger_start,0.26146328734854857,0.07941571886185557,0.24064720074335735,0.0,0.18303192507786056,0.31485759690403936,0.11875,0.07291666666666667,0.625,0.0,0.14375,0.1125
aime,17,30,pre_trigger_start,0.25440502154330413,0.09947961724052827,0.18967632725834846,0.0,0.21891262788170326,0.3370060289899508,0.08125,0.07083333333333333,0.7083333333333334,0.0,0.125,0.08541666666666667
aime,18,30,pre_trigger_start,0.25277571206291516,0.09407444583872954,0.2794281343619029,0.0,0.2018481882987544,0.26594797521829605,0.10833333333333334,0.06666666666666667,0.7666666666666667,0.0,0.10833333333333334,0.016666666666666666
aime,19,30,pre_trigger_start,0.21841629644234975,0.09521442077433069,0.31079222112894056,0.0,0.20895608882419764,0.2618354176481565,0.12916666666666668,0.10625,0.6479166666666667,0.0,0.14375,0.07916666666666666
aime,20,30,pre_trigger_start,0.19802437163889408,0.07814485800142089,0.4026129851738612,0.0,0.14221086897499238,0.2571517812709014,0.0875,0.07083333333333333,0.8041666666666667,0.0,0.1,0.008333333333333333
aime,21,30,pre_trigger_start,0.17507749497890474,0.039579760485018295,0.4719366659720739,0.0,0.08994891451438888,0.26303694198528926,0.075,0.027083333333333334,0.88125,0.0,0.027083333333333334,0.016666666666666666
