label,query_position_mode,final_layer,rows,prompt_token_share,previous_loop_token_share,current_trigger_token_share,other_completion_token_share,prompt_mass,previous_loop_mass,current_trigger_mass,other_completion_mass,prompt_enrichment,previous_loop_enrichment,current_trigger_enrichment,other_completion_enrichment
Trigger end,trigger_end,27,811,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.6385608976557575,0.03146813181263028,0.1764682981928606,0.1535026723387516,12.574473154696188,0.45635132725984434,42.62445801024666,0.1752070247830057
Trigger start,pre_trigger_start,27,811,0.05108727921115316,0.06941689525315517,0.0,0.8794958255356925,0.6338181149503894,0.068535802925365,0.0,0.29764608212424565,12.406574097060487,0.9873072351539646,0.0,0.3384280783174295
