dataset,layer,num_rows,mean_prev_loop_mass,mean_last_prev_loop_mass,mean_prompt_mass,mean_current_trigger_mass,mean_recent_nonloop_mass,top1_fraction_previous_loop,top1_fraction_last_previous_loop,top1_fraction_prompt,top1_fraction_current_trigger,top1_fraction_recent_nonloop
aime,0,30,0.12318020295351743,0.027861451202382644,0.0011375663697132646,0.5580438445011775,0.08710833598549167,0.004166666666666667,0.004166666666666667,0.0,0.95,0.04375
aime,1,30,0.1335682909935713,0.03327977036436399,0.005642985405089954,0.5076023995876312,0.10061443589317302,0.07083333333333333,0.0375,0.008333333333333333,0.75625,0.09791666666666667
aime,2,30,0.16682148464024066,0.04219024690488974,0.004559051344403997,0.4622425377368927,0.10510086260425548,0.11666666666666667,0.05,0.0020833333333333333,0.7333333333333333,0.09375
aime,3,30,0.07238787611325583,0.014493122409718732,0.5591182311375936,0.15409561706086,0.04624110565831264,0.03125,0.0125,0.85,0.075,0.029166666666666667
aime,4,30,0.06000371895109614,0.01516641773438702,0.44662327170372007,0.34041150559981664,0.04265777357310677,0.0125,0.00625,0.7083333333333334,0.25416666666666665,0.010416666666666666
aime,5,30,0.03319515896340211,0.011232943324527393,0.5192671179771423,0.3486966699361801,0.04679044734609003,0.0,0.0,0.8479166666666667,0.14791666666666667,0.004166666666666667
aime,6,30,0.20510417247811955,0.0432429979244868,0.2536580165227254,0.2420913670832912,0.07190243440369765,0.125,0.04583333333333333,0.5979166666666667,0.19583333333333333,0.04583333333333333
aime,7,30,0.0664952956760923,0.018860359233804046,0.35454878707726795,0.3602423277993997,0.07409727480262518,0.004166666666666667,0.004166666666666667,0.7770833333333333,0.19791666666666666,0.0125
aime,8,30,0.12086905439694723,0.023736193543300033,0.33345839579900105,0.18238724848876398,0.08535053543746471,0.03125,0.0125,0.7729166666666667,0.09791666666666667,0.03958333333333333
aime,9,30,0.07720142056544622,0.015727054122059294,0.3568659394979477,0.2648653343319893,0.051051201795538265,0.010416666666666666,0.0020833333333333333,0.7166666666666667,0.20416666666666666,0.008333333333333333
aime,10,30,0.09137210318197807,0.02514795691240579,0.2932278757294019,0.3644707027201851,0.08973820122579733,0.014583333333333334,0.00625,0.78125,0.19791666666666666,0.0020833333333333333
aime,11,30,0.19184421797593434,0.031700189729842045,0.2031035455564658,0.2434387594461441,0.06415568056205909,0.09583333333333334,0.0375,0.6166666666666667,0.20625,0.022916666666666665
aime,12,30,0.14442961979657412,0.034079213875035444,0.21571999142567316,0.26078360338384904,0.10617829812690616,0.01875,0.00625,0.7354166666666667,0.2,0.01875
aime,13,30,0.17670423158754905,0.030338076284776132,0.13372798661390942,0.23584640283758443,0.10514574640740951,0.04583333333333333,0.008333333333333333,0.5166666666666667,0.28958333333333336,0.075
aime,14,30,0.15398988202214242,0.027429711973915496,0.18335729564229647,0.24709272502611082,0.09545762790367007,0.035416666666666666,0.014583333333333334,0.6666666666666666,0.19583333333333333,0.0375
aime,15,30,0.10823211042831342,0.02568279975093901,0.2816353186964989,0.3110518508901199,0.10042542023584247,0.0,0.0,0.8166666666666667,0.16666666666666666,0.0125
aime,16,30,0.14412494574983914,0.026524151116609572,0.20129503235220908,0.19281531013548375,0.11789698998133341,0.04375,0.004166666666666667,0.5625,0.19791666666666666,0.0875
