label,layer,prompt_token_share,previous_loop_token_share,current_trigger_token_share,other_completion_token_share,prompt_mass,previous_loop_mass,current_trigger_mass,other_completion_mass,prompt_enrichment,previous_loop_enrichment,current_trigger_enrichment,other_completion_enrichment
Trigger end,0,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.0036033491530656,0.08976019278591275,0.5922157803387295,0.31442067772229215,0.07095676756682175,1.301703684122421,143.04482403103316,0.3588778659983759
Trigger end,1,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.018576788332034248,0.12181940960896497,0.4833113941767066,0.37629240788229423,0.3658121363822783,1.766626935214146,116.73987020855316,0.42949788579573994
Trigger end,2,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.009806988809060228,0.1490842689186996,0.45530250795304994,0.3858062343191902,0.1931181786430231,2.1620223405605916,109.97455537875146,0.4403569099346288
Trigger end,3,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.5488320285897661,0.06332662676543722,0.1569840886323505,0.23085725601244622,10.807541826120207,0.9183637067293862,37.918208328124386,0.26349908023912855
Trigger end,4,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.4608769335596835,0.051155074562779235,0.3240127746663464,0.16395521721119088,9.075539466854616,0.7418516711383168,78.26260608834922,0.18713749648495423
Trigger end,5,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.5222473337088795,0.027038050665529893,0.3481666018173521,0.10254801380823846,10.284038847261472,0.39210622293062447,84.09676328104575,0.11704768472758545
Trigger end,6,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.26501403703054577,0.19338149203242488,0.22315392615997065,0.3184505447770587,5.218628178599706,2.8044213454408338,53.900985348835725,0.3634775319597512
Trigger end,7,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.35543796098555647,0.05773011391937076,0.34874162023241656,0.23809030486265617,6.999246453988588,0.837202992120198,84.23565422371948,0.2717548385907406
Trigger end,8,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.33430004544308095,0.09964241483421024,0.16742500869968374,0.39863253102302504,6.583000873479549,1.4450158189154685,40.4401262224762,0.4549967676662499
Trigger end,9,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.36491220755876946,0.06384216197994601,0.25158556554875305,0.31966006491253146,7.185812307978701,0.9258400062692224,60.768412709444,0.36485807095052303
Trigger end,10,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.30186466507053256,0.07285043592635099,0.3558447639034135,0.2694401350997029,5.944286819339577,1.0564781323658021,85.95135983342773,0.30753734582399506
Trigger end,11,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.21144109885363338,0.16131659870928225,0.22603484277146077,0.4012074596656236,4.163675588491468,2.3394157736582626,54.59684693074591,0.4579357756953912
Trigger end,12,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.2196281023700199,0.1112406155052589,0.24608035725064842,0.42305092487407275,4.324893189368907,1.6132131018547338,59.43867517390224,0.4828677751962059
Trigger end,13,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.1459668869412195,0.1411781316754005,0.22266468553403082,0.49019029584934914,2.8743643841255317,2.047367417733876,53.78281332173039,0.5595002484629988
Trigger end,14,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.18675982072931036,0.12456671985925052,0.23858732919055972,0.4500861302208794,3.6776544895841563,1.806468470344909,57.62879621440892,0.5137255955914004
Trigger end,15,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.2956480284103189,0.0800236499266591,0.31839493968042876,0.30593338198259323,5.8218694726411915,1.1605041911496803,76.90566450780514,0.34919051780860283
Trigger end,16,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.22918751260722756,0.10944159714328229,0.17738972288187774,0.48398116736761243,4.513136077155777,1.5871237101443767,42.84702052356388,0.5524131866470341
Trigger end,17,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.21149042053044798,0.104470636014644,0.24498885520647765,0.43905008824843034,4.164646825695822,1.5150347560774984,59.17503188201188,0.5011291238172407
Trigger end,18,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.26377956949532694,0.09433645372532777,0.258050123723419,0.38383385305592627,5.194319175435028,1.3680686900282122,62.32987327370751,0.43810564585167133
Trigger end,19,0.050782318256989895,0.06895593358209402,0.0041400713681905045,0.8761216767927256,0.3117616655794231,0.08171625340153015,0.28608186678494685,0.32044021423409996,6.139177498784449,1.1850503525450002,69.10070898366766,0.36574852868286045
